Year,GPL,Electric,GNV,Plug-in hybride,Non plug-in hybride
1994,11,32,,,
1995,254,132,,,
1996,413,489,,,
1997,6060.00,298,,,
1998,22589.00,494,,,
1999,14265.00,529,,,
2000,6201.00,232,,,
2001,5263.00,407,,,
2002,5029.00,310,,,
2003,3863.00,113,,,
2004,2875.00,460,,,
2005,3986.00,6,,,
2006,4371.00,14,,,
2007,2980.00,6,,,
2008,2250.00,4,,,
2009,24821.00,12,,,
2010,75568.00,184,,,
2011,11874.00,2630.00,,,
2012,1911.00,5663.00,,,
2013,2744.00,8779.00,107,843,45942.00
2014,2251.00,10561.00,91,1927.00,41216.00
2015,1508.00,17268.00,101,5587.00,56030.00
2016,335,21826.00,104,7442.00,51043.00
2017,988,24910.00,115,11868.00,69680.00
2018,2173.00,31059.00,127,14528.00,91815.00
2019,2032.00,42764.00,297,18592.00,106780.00
2020,16587.00,110916.00,375,74592.00,168872.00
2022,34009.00,140848.00,79,,222270.00
